"","category","name","price","ratings","no_of_reviews"
"39","Luggage","Garment Bag for Travel With Toiletry Bag Convertible Carry On Weekender Bag Large Travel Duffel Bags for Women 2 in 1 Hanging Suitcase Suit Travel Bags for Women & Men 3pcs Set, C-Brown Leopard, Large, Carry on Luggage",NA,"4.2 out of 5 stars","396"
"40","Luggage","30'' Xpedition Rolling Travel Duffel Bag, Black, Inch, Black, 30-Inch, 30'' Xpedition Rolling Travel Duffel Bag (BBB-77032-001)",NA,"4.8 out of 5 stars","10,514"
"41","Luggage","Fashion Softside Upright Luggage Set","$70.95","4.5 out of 5 stars","1,395"
"42","Luggage","for Ryanair Cabin Bags 40x20x25 Underseat Cabin Bag Waterproof Travel Hand Luggage Bag Carry on Bag Weekend Overnight Bag for Women and Men with Shoe Pouch, C-grey, travel","$110.40","4.5 out of 5 stars","590"
"43","Luggage","Kids Luggage with Wheels","$81.77","4.8 out of 5 stars","1,458"
"44","Luggage","Travel Duffel Bag, Tote Sports Gym Bag, Shoulder Overnight Weekender Bag for Women & Men, Hospital Bag, Expandable Duffel Bag with Trolley Sleeve/Wet Pocket, Pink Daisy","$58.74","4.6 out of 5 stars","632"
"45","Luggage","Jewelkeeper Paperboard Vintage Suitcase - Set of 3 Decorative Vintage Luggage - Storage Cardboard Suitcase - Mini Luggage Gift Box for Birthday or Wedding - Red, Turquoise, Yellow","$60.31","4.7 out of 5 stars","512"
"46","Luggage","Disney Hardside Luggage with Spinner Wheels","$360.89","4.7 out of 5 stars","16"
"47","Luggage","Sanrio 019569 Hello Kitty Travel Inner Case, Set of 3","$61.12","4.7 out of 5 stars","24"
"48","Luggage","Global Travel Accessories - Lycra Medium","$117.32","3.5 out of 5 stars","282"
"49","Luggage","Platinum Elite Hardside Expandable Spinner Wheel Luggage TSA Lock Hard Shell Polycarbonate Suitcase","$25.87","4.2 out of 5 stars","39"
"50","Luggage","Subterra Convertible Carry On 40L","$129.46","4.7 out of 5 stars","168"
"51","Luggage","Spontaneous Small Carry-On Wheeled Luggage","$90.33","4.8 out of 5 stars","126"
"52","Luggage","Travel Duffel Bag, Sports Tote Gym Bag, Shoulder Weekender Overnight Bag for Women","$418.57","4.7 out of 5 stars","3,758"
"53","Luggage","Veki Transparent Suitcase Covers with a Zip, Luggage Cover PVC Waterproof Dustproof Suitcase Cover with Velcro Fastening, Scratch Protection Suitcase Protective Case Travel Suitcase Cover, Transparent colour, 22zoll, Simple","$108.61","5.0 out of 5 stars","2"
"54","Luggage","Mini Metz 30l Underseat Carry On Luggage - 18x14x8 Weekender Bag - Ideal Backpack for Weekend Away/Short Breaks - Fits Qantas Airlines and Many More! 1.5lb","$278.47","4.2 out of 5 stars","5"
"55","Luggage","Duffel Bag, Pink Bandana, 19-Inch, Duffel Bag","$667.62","4.7 out of 5 stars","10,342"
"56","Luggage","Convertible Travel Garment Bag, Carry on Duffel Bag for Men Women - 2in 1 Hanging Suit Business with Double Back Strap and Detachable Shoulder, Waterproof, Gray, (TGB01)","$60.97","4.1 out of 5 stars","345"
"57","Luggage","Hand Luggage 40 x 20 x 25 cm Travel Backpack Travel Bag for Ryanair Aeroplane with Laptop Compartment 20L YG063","$63.31","4.6 out of 5 stars","434"
"58","Luggage","Travel Luggage Cover","$106.08","4.3 out of 5 stars","9,753"
"59","Luggage","SECURITIME Zip","$57.95","4.3 out of 5 stars","6"
"60","Luggage","Travel Weekender Bags for Women, Overnight Bag with Shoe Compartment, Oversized Travel Duffel Bag Carry On Tote with Trolley Sleeve 21"" for Weekend Travel Business Trip","$92.75","4.5 out of 5 stars","2,213"
"61","Luggage","Disney Hardside Luggage with Spinner Wheels",NA,"4.8 out of 5 stars","1,239"
"62","Luggage","Travel Weekender Bag Overnight Duffel with Toiletry Bag Carry-on Tote Bags fit 15.6 Inch Laptop Computer for Women Ladies, Pink",NA,"4.2 out of 5 stars","93"
"63","Luggage","BQLZR Black 8.3x10.4x5.2cm Large Left & Right Luggage 360 Degree Rotation Wheels Replacement 360 Degree Rotation Pack of 2",NA,"4.1 out of 5 stars","1,606"
"64","Luggage","Luna Women's Weekender Bag and Travel Duffel, Large 37 Liter Capacity",NA,"4.8 out of 5 stars","1,565"
"65","Luggage","Sanrio Carry Bag",NA,"4.8 out of 5 stars","1,250"
"66","Luggage","Kids' Disney Softside Upright Luggage, Disney Softside Upright Luggage",NA,"4.7 out of 5 stars","529"
"67","Luggage","Women Large Duffel Bag, Ladies Carry-on Overnight Weekender, Womens Hand Luggage, Travel Bags for Teens & Girls, Peony, X-Large",NA,"4.7 out of 5 stars","1,160"
"68","Luggage","WAHL Professional Animal Travel Tote Bag with Zipper, Paw Print Design, Turquoise (97764-300)",NA,"4.3 out of 5 stars","57"
"69","Luggage","Luggage, Black, Carry-On Pro with Tech Case",NA,"4.6 out of 5 stars","114"
"70","Luggage","Abs 24"" Expandable Spinner Luggage",NA,"4.1 out of 5 stars","1,357"
"71","Luggage","Wrangler 3 Piece Smart Hardside Spinner Luggage Set with USB Charging Port",NA,"4.3 out of 5 stars","316"
"72","Luggage","ABS Spinner Wheel Luggage, Built-In TSA lock Carry on Suitcase, with Cup Holder & USB Port & Phone Holder, Pink, Carry-On 20-Inch, Modernity",NA,"4.4 out of 5 stars","78"
"73","Luggage","SAMSONITE Global Travel Accessories - Foldable Travel Duffle",NA,"4.6 out of 5 stars","7,553"
"74","Luggage","Foldaway Folding Bags and Backpacks",NA,"4.6 out of 5 stars","884"
"75","Luggage","Duffel Bag, 19-Inch US",NA,"4.5 out of 5 stars","143"
"76","Luggage","Women Travel Tote Canvas Weekender Bag Carryon Shoulder Duffel PU Leather Purse",NA,"4.2 out of 5 stars","28"
"77","Luggage","Gym Bag for Kids Travel Overnight Sports Duffle Bag for Boys Adjustable Strap Green Kit Bag Large Holdall 41 x 19cm Gamer Hand Luggage Bag, Green, Classic",NA,"4.3 out of 5 stars","428"
"78","Luggage","X-bag/X-travel 2.0 18 Inch Cargo Overnight Folding Duffle Bag, Navy (blue) - BXG40203.050",NA,"4.8 out of 5 stars","66"
"79","Luggage","Luggage 22 Inch Printed Rolling Carry-On Suitcase Wheeled Duffel (22in, Ditty Floral)",NA,"4.3 out of 5 stars","204"
